jackpot,title,bonus,coins_range,volatility,slot_reels,software
Video Slot,Mega Fortune (Touch) Slot Review,"108,100 in cash (not including progressive jackpot)",Medium,3.4%,Progressive Jackpot,Mobile Video Slot by NetEnt
5 Reels / 5 Paylines,Money Bee Slot Review,,10 Free Spins / No Multipliers,"5,000",0.10 - 5.00,Mobile Video Slot by iGaming2Go
Video Slot,Transformers: Battle for Cybertron Slot Review,"Mystery Symbols, Cascading Reels and Free Spins",0.01 - 3.00,Low/Medium,5 Reels / 40 Paylines,Mobile Video Slot by IGT
Video Slot,Monopoly Dream Life Slot Review,Up to 16 Free Spins / no multipliers,Low/Medium,5.56%,"25,000,000 (yeap, 25 million cash, not coins)",Mobile Video Slot by IGT
Video Slot,Potion Commotion Slot Review,Free Spins,0.20 / 40,0.01 - 2.00,5 Reels / 20 Paylines,Mobile Video Slot by NextGen
5 Reels / 30 Paylines,Deck the Halls Slot Review,Free Spins & Stacked Symbols,0.30 / 300,0.01 - 0.24,4% - 5%,Mobile Video Slot by Microgaming
3D Video Slot,The True Sheriff Slot Review,10 -15 Free Spins / Instant Wins,0.02 - 1.00,Low,5 Reels / 30 Paylines,Mobile 3D Video Slot by BetSoft
5 Reels / 30 Paylines,True Illusions Slot Review,"Free Spins, Click Me & Expanded Wild",0.60 / 150,0.2 - 1.00,4.66%,Mobile 3D Video Slot by BetSoft
3D Video Slot,A Night in Paris Slot Review,,0.60 / 150,0.02 - 1.00,5 Reels / 30 Paylines,Mobile 3D Video Slot by BetSoft
Progressive Jackpot,Vegas Vegas Slot Review,,9 Free Spins / No Multipliers,0.90 / 9.00,5 Reels / 9 Paylines,Mobile Classic Slot by mFortune
Video Slot,Crown of Egypt Slot Review,"Wild, Scatters & Free Spins",0.01 - 100,Low/Medium,5 Reels / 1024 Ways to Win,Mobile Video Slot by IGT
"5,000 Coins",Dungeons & Dragons: Crystal Caverns Slot Review,"Wilds, Tumbling Reels & Free Spins",0.01 - 300,Low/Medium,5 Reels / 20 Paylines,Mobile Video Slot by IGT
Video Slot,South Park (Touch) Slot Review,10 Free Spins / up to 10x Multiplier,Medium,3.3%,"£/$/€69,500",Mobile Video Slot by NetEnt
Video Slot,Magic Portals (Touch) Slot Review,10 Free Spins / Extra Portals for more Wilds,0.01 - 1.00,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by NetEnt
3D Video Slot,Greedy Goblins Slot Review,25 Free Spins / up to 10X Multiplier,Low,2.8%,Progressive Jackpot,Mobile 3D Video Slot by BetSoft
5 Reels / 50 Paylines,Grand Monarch Slot Review,,0.50 / 500,0.01 to 10.00,5.03%,Mobile Video Slot by IGT
Classic Slot,Break da Bank Slot Review,No Free Spins / Multipliers,1.00 - 25.00 coins,Medium/High,3 Reels / 5 Paylines,Mobile Classic Slot by Microgaming
5 Reels / 40 Paylines,Wolf Run Slot Review,,0.40 / 400,0.01 - 10.00,5.02%,Mobile Video Slot by IGT
5 Reels / 99 Paylines,Pixies of the Forest Slot Review,,0.33 / 990,0.01,5.08%,Mobile Video Slot by IGT
5 Reels / 30 Paylines,Kitty Glitter Slot Review,,0.30 / 150,0.01 - 5.00,5.08%,Mobile Video Slot by IGT
"£/$/€ 96,240",Reel Rush Touch Slot Review,8 Free Spins / 3125 ways to win,0.01 - 0.20,Medium,5 Reels / 3125 Ways to Win,Mobile Video Slot by NetEnt
"2,500,000 Coins",Thunderstruck II Slot Review,25 Free Spins / Varying Multipliers,0.01 - 0.05,Medium,5 Reels / 243 Paylines,Mobile Video Slot by Microgaming
"25,000,000",Treasures of Troy Slot Review,"Multi-Way Extra, Wilds and Free Spins",0.01 - 10.00,Medium,5 Reels / 1024 Ways to Win,Mobile Video Slot by IGT
"4,000 coins",Foxin’ Wins Slot Review,,"0.50  with superbet level 2, 0.35  with superbet 1 and 0.25 with no superbet / £/$/€100 with superbet level 2, £/$/€75 with superbet 1 and £/$/€50 with no superbet",0.01 - 2.00,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
5 Reels / 20 Paylines,Frankenstein Touch Slot Review,Connecting Wilds,0.20 / 100,0.01 - 0.50,3.3%,Mobile Video Slot by NetEnt
5 Reels / 15 Paylines,Fruit Shop Slot Review,Wilds & Free Spins Round,0.15 / 150,0.01 to 1.00,3.3%,Mobile Video Slot by NetEnt
"12,500 Coins",Rooks Revenge Slot Review,,20 Free Spins / 10X Multiplier,0.50 / 62.50,5 Reels / 25 Paylines,Mobile 3D Video Slot by BetSoft
"2,500 Coins",Safari Sam Slot Review,,10 Free Spins / 2X Multiplier,0.60 / 150,5 Reels / 30 Paylines,Mobile 3D Video Slot by BetSoft
"5,000 Coins",Ninja Fruits Slot Review,"Yes - Click Me, Gamble Feature, Free Spins",0.01 to 0.25,High,5 Reels / 15 Paylines,Mobile Video Slot by Play'nGo
"3,645,000 Coins",Immortal Romance Slot Review,25 Free Spins / Varying Multipliers,0.01 - 0.02,Medium,5 Reels / 243 Paylines,Mobile Video Slot by Microgaming
"105,000 Coins",Under the Bed Slot Review,,12 Free Spins / 2x Multiplier,0.02 - 75.00,5 Reels / 10 Paylines,Mobile Video Slot by BetSoft
Video Slot,Disco Spins Slot Review,"230,000",Low/Medium,3.6%,"30,000 Coins",Mobile Video Slot by NetEnt
"5,000 Coins",Rich Wilde and the Aztec Idols Slot Review,,0.15 / 18.75,0.01 - 0.25,5 Reels / 20 Paylines,Mobile Video Slot by Play'nGo
"4,500",Cat & Mouse Slot Review,,Yes,9 Free Spins / No Multipliers,5 Reels / 9 Paylines,Mobile Classic Slot by mFortune
"70,000 Coins",Mad Mad Monkey Slot Review,,Yes,10 Free Spins / 3x Multipliers,5 Reels / 50 Paylines,Mobile Video Slot by NextGen
"5,000 Coins",Merlin’s Millions Slot Review,,Yes,5 Free Spins / No Multipliers,5 Reels / 50 Paylines,Mobile Video Slot by NextGen
5 Reels / 30 Paylines,The Slotfather Slot Review,,20 Free Spins / 7x Multipliers,0.60 / 150.00,4.31%,Mobile Video Slot by BetSoft
Progressive Jackpot,At the Copa Slot Review,Yes,0.02 - 75.00,Medium,5 Reels / 30 Paylines,Mobile Video Slot by BetSoft
3 Reels / 3 Paylines,Fruit Machine Slot Review,,Holds,"4,500",0.10 - 3.30,Mobile Classic Slot by mFortune
"4,500 Coins",Monte Carlo Slot Review,,Yes,9 Free Spins / No Multipliers,5 Reels / 9 Paylines,Mobile Classic Slot by mFortune
"4,500 Coins",Pirates Treasure Slot Review,,Yes,9 Free Spins / No Multipliers,5 Reels / 9 Paylines,Mobile Classic Slot by mFortune
Progressive Jackpot,Snakes & Ladders Slot Review,,Yes - Snakes and Ladders Mini Game & Free Spins,9 Free Spins / No Multipliers,5 Reels / 9 Paylines,Mobile Classic Slot by mFortune
5 Reels / 25 Paylines,Genie Wild Slot Review,,Free Spins & Expanding Wilds,10 Free Spins / No Multipliers,0.01 - 2.00,Mobile Video Slot by NextGen
5 Reels / 15 Paylines,Lucky Angler Slot Review,"Sticky Wild, Scatters & Free Spins,",0.30 / 150,0.01 - 0.05,3.6%,Mobile Video Slot by NetEnt
"30,000 Coins",Wild Blood Slot Review,Yes,0.01 - 18.75,Medium,5 Reels / 15 Paylines,Mobile Video Slot by Play'nGo
"10,000 Coins",Agent Jane Blonde Slot Review,Free Spins  & Gamble Feature,0.02 - 2.00,Low/Medium,5 Reels / 9 Paylines,Mobile Video Slot by Microgaming
5 Reels / 243 Paylines,Burning Desire Slot Review,Yes,0.25 / 250,0.01 - 1.00,4%,Mobile Video Slot by Microgaming
"225,000 Coins plus 4 Progressive Jackpots",Mega Moolah Slot Review,Yes,0.01 - 0.05,Low,5 Reels / 25 Paylines,Mobile Video Slot by Microgaming
"2,500 Coins",Riches of Ra Slot Review,Yes,0.01 - 0.25,High,5 Reels / 15 Paylines,Mobile Video Slot by Play'nGo
"10,000 Coins",Irish Eyes Slot Review,,Yes,12 Free Spins / 3X Multiplier,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
"2,500 Coins",Enchanted Meadow Slot Review,,0.01 - 5.00,Medium,5 Reels / 20 Paylines,Mobile Video Slot by Play'nGo
Progressive Jackpot,Mr Vegas Slot Review,,Yes,12 Free Spins / 2X Multiplier,5 Reels / 30 Paylines,Mobile Video Slot by BetSoft
"5,000 Coins",Dragon Ship Slot Review,Yes,0.01 - 0.25,High,5 Reels / 15 Paylines,Mobile Video Slot by Play'nGo
5 Reels / 20 Paylines,Gonzo’s Quest Slot Review,"Wilds, Tumbling Reels & Free Spins",0.20 / 50,0.01 - 1.00,4%,Mobile Video Slot by NetEnt
5 Reels / 20 Paylines,Fortune Teller Slot Review,,0.20 / 25.00,0.01 - 0.05,5.83%,Mobile Video Slot by Play'nGo
"12,500 Coins",Jolly Roger Slot Review,,No Free Spins or Multipliers,0.25 - 1.25,5 Reels / 15 Paylines,Mobile Video Slot by Play'nGo
5 Reels / 20 Paylines,Pearl Lagoon Slot Review,,"5,000 Coins",0.20 / 25,3.12%,Mobile Video Slot by Play'nGo
5 Reels / 15 Paylines,Mermaids Millions Slot Review,Yes,0.30 / 150.00,0.02 - 2.00,3.5%,Mobile Video Slot by Microgaming
5 Reels / 25 Paylines,Jack Hammer (Touch) Slot Review,"Sticky Wins, Wilds, Scatters & Free Spins",0.25 / 250,0.01 to 1.00,3%,Mobile Video Slot by NetEnt
5 Reels / 10 Paylines,Starburst (Touch) Slot Review,Starburst Wilds & Free Respins,0.10 / 100,0.01 to 1.00,3.9%,Mobile Video Slot by NetEnt
Video Slot,Starmania Slot Review,10 Free Spins / Extra Stacked Wilds,0.01 - 2.00,Low/Medium,5 Reels / 10 Paylines,Mobile Video Slot by NextGen
Video Slot,Elementium Slot Review,,0.10 / 12.50,0.01 - 0.25,5 Reels / 10 Paylines,Mobile Video Slot
Video Slot,Flux Slot Review,"Free Spins, Stacked Wilds, Extra Rows",Low/Medium,3.8%,"36,000",Mobile Video Slot by Thunderkick
Video Slot,Esmeralda Slot Review,"Free Spins, Wilds, Stacked Scatters",0.01 - 1.00,Medium/High,5 Reels / 25 Paylines,Mobile Video Slot by Playtech
Video Slot,Magicious Slot Review,Up to 3 Respins / Expanded Wilds,0.01 - 10.00,Low,5 Reels / 10 Paylines,Mobile Video Slot by Thunderkick
Video Slot,Razortooth Slot Review,,0.25 / 100,Medium,5 Reels / 243 Paylines,Mobile Video Slot by Quickspin
Video Slot,Bridesmaids Slot Review,10 Free Spins / Additional Bonuses,0.01 - 0.10,Medium,5 Reels / 40 Paylines,Mobile Video Slot by Microgaming
Video Slot,Taxi Slot Review,Starts with 10 Free Spins / Extra Wilds,0.01 - 5.00,Medium,5 Reels / 25 Paylines,Mobile Video Slot by Leander Games
5 Reels / 20 Paylines,Draglings Slot Review,"Expanding Wilds, Spreading Wilds, Win Both Ways, Free Spins",0.20 / 40,0.005 - 1.00,5.6%,Mobile Video Slot by Yggdrasil
Video Slot,Doubles Slot Review,Up to 40 Free Spins / One Double Symbol Always,0.01 - 2.00,Low/Medium,5 Reels / 243 Paylines,Mobile Video Slot by Yggdrasil
Video Slot,Thor Slot Review,"80,000 on a single payline",Medium,4.5%,4 Progressive Jackpots,Mobile Video Slot by Playtech
Video Slot,Sherlock Slot Review,up to 9 Free Spins / No Multipliers,0.02 - 11.00,Low/Medium,A few thousands,Mobile Video Slot by mFortune
Video Slot,Arcader Slot Review,"Expanding Symbols, Wilds, Free Spins, Click Me Bonus, Sticky Wilds",0.20 / 100,Medium/High,5 Reels / 15 Paylines,Mobile Video Slot by Thunderkick
Video Slot,Gunsmoke Slot Review,,0.40 / 160,0.02 - 8.00,5 Reels / 20 Paylines,Mobile Video Slot
5 Reels / 25 Paylines,Rocky Slot Review,,0.25 / 10,0.01 - 0.40,12% - 4%,Mobile Video Slot by Playtech
Video Slot,Glow Slot Review,Mutliplie Free Spins / Up to 4x Multipliers,0.01 - 1.00,Medium,5 Reels / 15 Paylines,Mobile Video Slot by NetEnt
Video Slot,SunTide Slot Review,15 Free Spins / Expanded Wilds on 3 Reels,0.01 - 0.50,Medium,5 Reels / 9 Paylines,Mobile Video Slot by Microgaming
Video Slot,Titanic Slot Review,Up to 30 Free Spins / Up to 5x Multiplier,0.01 - 2.50,Medium,5 Reels / 25 Paylines,Mobile Video Slot by Bally Technologies
5 Reels / 20 Paylines,Extinction Slot Review,"Stacked wilds, free spins, scatters",0.20 / 20,0.01 - 1.00,4.85%,Mobile Video Slot
5 Reels / 20 Paylines,Heroic Slot Review,Wilds and Free Spins,"0.20 / 1,000",0.01 - 50,4.54%,Mobile Video Slot by Nektan
Video Slot,Pyrons Slot Review,No Free Spins or Multipliers,0.01,Medium,5 Reels / 20 Paylines,Mobile Video Slot by Yggdrasil
5 Reels / 30 Paylines,Montezuma Slot Review,"Free spins, scatters, wilds, multipliers",0.30 / 60,0.01 - 2.00,4.18%,Mobile Video Slot by WMS
5 Reels / 30 Paylines,Platoon Slot Review,,"9,000",0.30 / 300,Low,Mobile Video Slot by iSoftBet
5 Reels / 40 Paylines,Sinbad Slot Review,,0.40 / 80,0.01 - 2.00,2.97%,Mobile Video Slot by Quickspin
5 Reels / 20 Paylines,Kronos Slot Review,"Wilds, Free Spins, Scatters",0.20 / 60,0.01 - 3.00,4.06%,Mobile Video Slot by WMS
5 Reels / 25 Paylines,Zorro Slot Review,,"0.35 with Zorro Bonus, 0.25 without / 75 with Zorro Bonus, 50 without",0.01 - 2.00,4.5%,Mobile Video Slot by Aristocrat
"25,000",Akaneiro Slot Review,"Click Me, Free Spins, Wilds",0.01 - 1.00,Low,5 Reels / 25 Paylines,Mobile Video Slot
Video Slot,Stickers Slot Review,1 Free spin on each wild,0.01 - 1.00,Low/Medium,5 Reels / 20 Paylines,Mobile Video Slot by NetEnt
5 Reels / 30 Paylines,Zeus Slot Review,"Wilds, Scatters, Free Spins",0.30 / 150,0.01 - 5.00,4.03%,Mobile Video Slot by WMS
Video Slot,Psycho Slot Review,Up to 20 Free Games / Up to 40x Multiplier,0.01 - 2.00,Medium/High,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
Video Slot,Harveys Slot Review,30 Free Spins / 25x Multipliers,0.01 - 0.20,Medium,5 Reels / 25 Paylines,Mobile Video Slot by Microgaming
Video Slot,Chibeasties Slot Review,"Scatters, Wilds, Expanded Eymbols",0.01 - 2.00,Medium,5 Reels / 20 Paylines,Mobile Video Slot by Yggdrasil
5 Reels / 25 Paylines,Firestorm Slot Review,"Sticky Wilds, Staked Wilds, Multipliers, Re-Spins",0.25 / 100,0.01 - 4.00,3.43%,Mobile Video Slot by Quickspin
Video Slot,Ragnarok Slot Review,"Wilds, Scatter, Free Spins, Click Me Bonus",0.01 - 2.00,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by Genesis
Video Slot,Cashville Slot Review,None,0.01 - 0.20,Medium,5 Reels / 20 Paylines,Mobile Video Slot by Microgaming
Video Slot,Sparks Slot Review,None,0.01 - 2.00,Low,5 Reels / 20 Paylines,Mobile Video Slot by NetEnt
Video Slot,Ariana Slot Review,15 Free Spins / No Multipliers,0.01 - 0.50,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by Microgaming
Video Slot,Illuminous Slot Review,Starts at 5 Free Spins / Extra Wilds on Reels,0.01,Low,5 Reels / 40 Paylines,Mobile Video Slot by Quickspin
3D Video Slot,Lost Slot Review,"Reel Re-Spin, Click Me Feature, Expanded Wild",0.02 - 1.00,Low,5 Reels / 30 Paylines,Mobile 3D Video Slot by BetSoft
Video Slot,Robotnik Slot Review,No Free Spins / No Multipliers,0.01,Low/Medium,5 Reels / 40 Paylines,Mobile Video Slot by Yggdrasil
Video Slot,Heist Slot Review,Interchangeable (mostly around 5 to 8) / No Multipliers,0.02 - 1.00,Low,5 Reels / 30 Paylines,Mobile Video Slot by BetSoft
500x your overall bet,Snapshot Slot Review,10 Free Spins / Random 2x Multiplier,0.01 - 2.00,Low/Medium,5 Reels / 20 Paylines,Mobile Video Slot by Realistic Games
Video Slot,Summertime Slot Review,15 Free Spins / 3x Multiplier,0.01 - 1.00,Medium,5 Reels / 9 Paylines,Mobile Video Slot by Microgaming
Video Slot,Hitman Slot Review,18 Free Spins / 2x Multipliers,0.01 - 0.25,Low/Medium,5 Reels / 15 Paylines,Mobile Video Slot by Microgaming
Video Slot,Fruitoids Slot Review,Sticky Wins & Multipliers,"0.0032 (yes this is correct, we didn't have a stroke) - 2",Medium,5 Reels / 25 Paylines,Mobile Video Slot by Yggdrasil
"20,000 your line bet",Bejeweled Slot Review,No Free Spins / No Multipliers,0.01 - 10.00,Low,5 Reels / 10 Paylines,Mobile Video Slot
Video Slot,Kathmandu Slot Review,15 Free Spins / Random Multiplier up to 5x,0.01 - 0.50,Low,5 Reels / 9 Paylines,Mobile Video Slot by Microgaming
5 Reels / 100 Paylines,Spartacus Slot Review,"Stacked Symbols, Stacked Wilds, Free Spins",0.50 / 250,0.01 - 5.00,4.06%,Mobile Video Slot by WMS
Video Slot,Gemix Slot Review,Cascading Reels,0.01 - 10,Low,5 Reels / All Ways Pay,Mobile Video Slot by Play'nGo
5 Reels / 25 Paylines,Lucky88 Slot Review,,0.30 / 60,0.01 - 2.00,3%,Mobile Video Slot by Aristocrat
Video Slot,SugarPop! Slot Review,,0.01 - 1.00,Low,5 Reels / All Ways Pay,Mobile Video Slot by BetSoft
Video Slot,Gold Slot Review,"Scatters, Wilds & Free Spins",0.20 / 500,0.01 - 25.00,5 Reels / 20 Paylines,Mobile Video Slot by Microgaming
Video Slot,Robyn Slot Review,12 Free Spins / Extra Wilds,0.25 - 25.00,Low,5 Reels / 243 Paylines,Mobile Video Slot
Video Slot,Pandamania Slot Review,10 Free Spins / 2x Multiplier,0.01 - 2.00,Low,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
Video Slot,Balloonies Slot Review,"Wilds, Multipliers, & Free Spins",0.01 - 30.00,Low/Medium,5 Reels / 20 Paylines,Mobile Video Slot by IGT
Video Slot,Pimped Slot Review,Up to 20 Free Spins / Guaranteed win every time,0.01 - 2.00,Medium/High,5 Reels / 10 Paylines,Mobile Video Slot by Play'nGo
3D Video Slot,Extreme Slot Review,,"50,000",0.20 / 50,5 Reels / 20 Paylines,Mobile 3D Video Slot by Sheriff Gaming
3 Reels / 5 Paylines,5xMagic Slot Review,"Scatters, Wilds & Multipliers",0.50 / 25,0.10 - 1.00,4.58%,Mobile Classic Slot by Play'nGo
Classic Slot,Seven’s Slot Review,,"6,000",1 / 20,3 Reels / 5 Paylines,Mobile Classic Slot by iGaming2Go
Video Slot,Battleship Slot Review,"Scatter, Expanded Wilds and Free Spins",0.01 - 10,Medium,5 Reels / 40 Paylines,Mobile Video Slot by IGT
3D Video Slot,Energoonz Slot Review,Up to 20 Free Spins / Up to 5x Multiplier,Low,3.27%,"40,000",Mobile 3D Video Slot by Play'nGo
"15,000 Coins",Victorious Slot Review,25 Free Spins / 3X Multiplier,0.01 - 0.50,Low,5 Reels / 243 Paylines,Mobile Video Slot by NetEnt
"150,000 Coins",Thunderstruck Slot Review,15 Free Spins / 3X Multiplier,0.18 - 90.00,Medium/High,5 Reels / 9 Paylines,Mobile Video Slot by Microgaming
5 Reels / 20 Paylines,Myth Slot Review,,15 Free Spins / 3X Mulitplier,"5,000 Coins",0.01 to 5.00,Mobile Video Slot by Play'nGo
"121,500 in cash",Playboy Slot Review,"Wilds, Scatters & 4 Free Spin Rounds",0.01 - 0.10,Medium,5 Reels / 243 Paylines,Mobile Video Slot by Microgaming
"100,000 Coins",Subtopia Slot Review,Varied amount of Free Spins / Up to 6X Multiplier,0.01 - 0.50,Medium,5 Reels / 20 Paylines,Mobile Video Slot by NetEnt
"560,000 Coins",Loaded Slot Review,26 Free Spins / No Multiplier,0.01 - 0.25,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by Microgaming
"75,000 Coins",Flowers Slot Review,30 Free Spins / 10X Multiplier,0.01 - 75.00,Medium/High,5 Reels / 30 Paylines,Mobile Video Slot by NetEnt
"2,500 Coins",Boomanji Slot Review,,3 Free Spins / No Multipliers,0.02 - 50.00,5 Reels / 10 Paylines,Mobile Video Slot by BetSoft
"6,000,000 Coins",Cashapillar Slot Review,"Wilds, Scatters, Free Spins and Gamble Feature",0.01 - 0.02,Low/Medium,5 Reels / 100 Paylines,Mobile Video Slot by Microgaming
"25, 000, 000 Coins",Cleopatra Slot Review,1 Bonus Round,0.01 - 10.00,Low/Medium,5 Reels / 20 Paylines,Mobile Video Slot by IGT
